SKU,카테고리,메뉴,재료원가,현재 매장가,추천 매장가,인상폭,현재 원가율%,추천후 원가율%,목표 원가율%,시장 중심가,시장 상단가,판단
ADSM-002,에이드 · 스무디,상콤 청포도 에이드,762,5000,5000,0,15.2,15.2,20,,,유지
ADSM-003,에이드 · 스무디,수제청 딸기 에이드,956,5000,5000,0,19.1,19.1,20,,,유지
ADSM-004,에이드 · 스무디,키위 에이드,978,5000,5000,0,19.6,19.6,20,,,유지
ADSM-006,에이드 · 스무디,꿀 자몽 스무디,994,5000,5000,0,19.9,19.9,20,,,유지
SIG-001,커피,소금 슈페너 오리지널,1052,5500,5500,0,19.1,19.1,20,4300,4700,유지
SIG-002,커피,소금 슈페너 연유,1788,5800,5800,0,30.8,30.8,20,4300,4700,유지(원가율 초과·시장 상단)
SIG-003,커피,소금 슈페너 콜드브루,1932,5800,5800,0,33.3,33.3,20,4300,4700,유지(원가율 초과·시장 상단)
SIG-004,커피,소금 슈페너 디카페인,1932,5800,5800,0,33.3,33.3,20,4300,4700,유지(원가율 초과·시장 상단)
COF-001,커피,아메리카노,680,3800,3800,0,17.9,17.9,20,4300,4700,유지
COF-002,커피,헤이즐넛 아메리카노,691,4100,4100,0,16.8,16.8,20,4300,4700,유지
COF-009,커피,콜드브루,716,4500,4500,0,15.9,15.9,20,4300,4700,유지
COF-010,커피,디카페인 콜드브루,728,4500,4500,0,16.2,16.2,20,4300,4700,유지
COF-011,커피,콜드브루 라떼,1098,4800,4800,0,22.9,22.9,20,4300,4700,유지(원가율 초과·시장 상단)
COF-012,커피,디카페인 콜드브루 라떼,1098,4800,4800,0,22.9,22.9,20,4300,4700,유지(원가율 초과·시장 상단)
CREAM-001,크림치즈,베이직 플레인 크림치즈,562,2300,2300,0,24.4,24.4,30,2800,3500,유지
CREAM-002,크림치즈,새콤달콤 요거트 크림치즈,628,2500,2500,0,25.1,25.1,30,2800,3500,유지
CREAM-003,크림치즈,리치 홀스레디시 크림치즈,647,2500,2500,0,25.9,25.9,30,2800,3500,유지
CREAM-004,크림치즈,수제청 딸기 크림치즈,693,2800,2800,0,24.8,24.8,30,2800,3500,유지
CREAM-005,크림치즈,수제청 블루베리 크림치즈,806,2800,2800,0,28.8,28.8,30,2800,3500,유지
CREAM-006,크림치즈,바질 어니언 크림치즈,673,2800,2800,0,24.0,24.0,30,2800,3500,유지
CREAM-007,크림치즈,넛츠 캐슈넛 크림치즈,672,2800,2800,0,24.0,24.0,30,2800,3500,유지
CREAM-008,크림치즈,꿀 허니콘 크림치즈,673,3200,3200,0,21.0,21.0,30,2800,3500,유지
CREAM-009,크림치즈,구운 대파 베이컨 크림치즈,685,3200,3200,0,21.4,21.4,30,2800,3500,유지
CREAM-010,크림치즈,꾸덕 말차 초코 크림치즈,723,3200,3200,0,22.6,22.6,30,2800,3500,유지
CREAM-011,크림치즈,베이직 플레인 크림치즈 L (200g),1798,9200,9200,0,19.5,19.5,30,2800,3500,유지
CREAM-021,크림치즈,소금우유 스프레드,316,2500,2500,0,12.6,12.6,30,2800,3500,유지
TEA-001,티,복숭아아이스티,754,4000,4000,0,18.9,18.9,20,4500,5500,유지
TEA-005,티,피치 얼그레이 티,951,4800,4800,0,19.8,19.8,20,4500,5500,유지
TEA-007,티,유자티,921,4800,4800,0,19.2,19.2,20,4500,5500,유지
TEA-008,티,자몽티,761,4500,4500,0,16.9,16.9,20,4500,5500,유지
