SKU,카테고리,메뉴,매장가,현재 배달가,추천 배달가,차이,현재 인상률%,판단
SALAD-003,샐러드,바베큐 풀드포크 탄단지 샐러드,9900,12400,12400,,25.3,유지
SALAD-004,샐러드,닭가슴살 피넛 탄단지 샐러드,9900,12400,12400,,25.3,유지
SALAD-005,샐러드,페퍼 크래미 콘 탄단지 샐러드,9900,11900,11900,,20.2,유지
SET-001,세트,[GIFT] 베이글 6종 기프트 세트,19900,,22500,,,배달가 미입력
SET-007,세트,[SET] 베이글 샌드위치 + 음료 + 베이글 하나더!,15000,,17000,,,배달가 미입력
SET-006,세트,탄.단.지 샐러드 + 음료 세트,14400,16200,16300,100,12.5,인상 제안
SET-003,세트,치아바타 샌드위치 + 음료 세트,11900,11900,13400,1500,0.0,인상 제안
SET-004,세트,베이글 샌드위치 + 미니샐러드 + 음료 세트,11300,14900,14900,,31.9,유지
SET-005,세트,[COUPLE] 베이글 2종 + 크림치즈 2종 커플세트,11000,,12400,,,배달가 미입력
SET-002,세트,베이글 샌드위치 + 음료 세트,9600,11600,11600,,20.8,유지
SIG-012,에이드 · 스무디,블랙러시안 논알콜 하이볼스,6300,6600,7100,500,4.8,인상 제안
SIG-013,에이드 · 스무디,딥 얼그레이 논알콜 하이볼스,6300,6300,7100,800,0.0,인상 제안
SIG-014,에이드 · 스무디,생 자몽 논알콜 하이볼스,6300,6300,7100,800,0.0,인상 제안
SIG-015,에이드 · 스무디,생 레몬 논알콜 하이볼스,6300,6600,7100,500,4.8,인상 제안
ADSM-010,에이드 · 스무디,딸기 요거트 스무디,6000,6000,6800,800,0.0,인상 제안
ADSM-011,에이드 · 스무디,키위 요거트 스무디,6000,6000,6800,800,0.0,인상 제안
ADSM-012,에이드 · 스무디,애플망고 요거트 스무디,6000,6500,6800,300,8.3,인상 제안
SIG-016,에이드 · 스무디,후르츠 비타,5500,6200,6200,,12.7,유지
SIG-017,에이드 · 스무디,레몬딜 비타,5500,6200,6200,,12.7,유지
SIG-018,에이드 · 스무디,풀파워 비타,5500,5500,6200,700,0.0,인상 제안
ADSM-008,에이드 · 스무디,애플망고 스무디,5500,5500,6200,700,0.0,인상 제안
ADSM-009,에이드 · 스무디,요거트 스무디,5500,5500,6200,700,0.0,인상 제안
ADSM-001,에이드 · 스무디,꿀 자몽 에이드,5000,5200,5600,400,4.0,인상 제안
ADSM-002,에이드 · 스무디,상콤 청포도 에이드,5000,5000,5600,600,0.0,인상 제안
ADSM-003,에이드 · 스무디,수제청 딸기 에이드,5000,5000,5600,600,0.0,인상 제안
ADSM-004,에이드 · 스무디,키위 에이드,5000,5000,5600,600,0.0,인상 제안
ADSM-005,에이드 · 스무디,꿀 유자 스무디,5000,,5600,,,배달가 미입력
ADSM-006,에이드 · 스무디,꿀 자몽 스무디,5000,,5600,,,배달가 미입력
ADSM-007,에이드 · 스무디,청포도 스무디,5000,5000,5600,600,0.0,인상 제안
SIG-002,커피,소금 슈페너 연유,5800,,6600,,,배달가 미입력
SIG-003,커피,소금 슈페너 콜드브루,5800,,6600,,,배달가 미입력
SIG-004,커피,소금 슈페너 디카페인,5800,,6600,,,배달가 미입력
SIG-001,커피,소금 슈페너 오리지널,5500,,6200,,,배달가 미입력
SIG-005,커피,소금 슈페너 제주말차,5000,,5600,,,배달가 미입력
COF-011,커피,콜드브루 라떼,4800,4800,5400,600,0.0,인상 제안
COF-012,커피,디카페인 콜드브루 라떼,4800,4800,5400,600,0.0,인상 제안
COF-005,커피,바닐라라떼,4500,4500,5100,600,0.0,인상 제안
COF-006,커피,헤이즐넛라떼,4500,4500,5100,600,0.0,인상 제안
COF-007,커피,연유라떼,4500,4500,5100,600,0.0,인상 제안
COF-008,커피,카페모카라떼,4500,4500,5100,600,0.0,인상 제안
COF-009,커피,콜드브루,4500,4500,5100,600,0.0,인상 제안
COF-010,커피,디카페인 콜드브루,4500,4500,5100,600,0.0,인상 제안
SIG-008,커피,벤치프레소,4500,4500,5100,600,0.0,인상 제안
COF-004,커피,카페라떼,4300,4300,4900,600,0.0,인상 제안
COF-002,커피,헤이즐넛 아메리카노,4100,4100,4600,500,0.0,인상 제안
COF-003,커피,복숭아 아메리카노,4100,4100,4600,500,0.0,인상 제안
SIG-006,커피,샤케라또,4000,,4500,,,배달가 미입력
COF-001,커피,아메리카노,3800,3800,4300,500,0.0,인상 제안
DESRT-039,케이크 · 산도,망고 하나가득 산도,9600,,10800,,,배달가 미입력
DESRT-040,케이크 · 산도,양즈깐루🥭🍊🥥,9300,,10500,,,배달가 미입력
DESRT-041,케이크 · 산도,카라카라 오렌지 산도,8800,,9900,,,배달가 미입력
DESRT-043,케이크 · 산도,샤인머스켓 산도,8700,,9800,,,배달가 미입력
DESRT-042,케이크 · 산도,후르츠 산도,8500,,9600,,,배달가 미입력
DESRT-006,케이크 · 산도,쇼콜라 테디 케이크,7200,7900,8100,200,9.7,인상 제안
DESRT-007,케이크 · 산도,딸기 테디 케이크,7200,7900,8100,200,9.7,인상 제안
DESRT-008,케이크 · 산도,치즈 테디 케이크,7200,7900,8100,200,9.7,인상 제안
DESRT-009,케이크 · 산도,말차 테디 케이크,7200,7900,8100,200,9.7,인상 제안
CREAM-008,크림치즈,꿀 허니콘 크림치즈,3200,3400,3600,200,6.2,인상 제안
CREAM-009,크림치즈,구운 대파 베이컨 크림치즈,3200,3400,3600,200,6.2,인상 제안
CREAM-010,크림치즈,꾸덕 말차 초코 크림치즈,3200,3400,3600,200,6.2,인상 제안
CREAM-004,크림치즈,수제청 딸기 크림치즈,2800,3000,3200,200,7.1,인상 제안
CREAM-005,크림치즈,수제청 블루베리 크림치즈,2800,3000,3200,200,7.1,인상 제안
CREAM-006,크림치즈,바질 어니언 크림치즈,2800,3000,3200,200,7.1,인상 제안
CREAM-007,크림치즈,넛츠 캐슈넛 크림치즈,2800,3000,3200,200,7.1,인상 제안
CREAM-022,크림치즈,레드패션 크림치즈,2800,,3200,,,배달가 미입력
CREAM-002,크림치즈,새콤달콤 요거트 크림치즈,2500,2700,2800,100,8.0,인상 제안
CREAM-003,크림치즈,리치 홀스레디시 크림치즈,2500,2700,2800,100,8.0,인상 제안
CREAM-021,크림치즈,소금우유 스프레드,2500,,2800,,,배달가 미입력
CREAM-001,크림치즈,베이직 플레인 크림치즈,2300,2500,2600,100,8.7,인상 제안
TEA-005,티,피치 얼그레이 티,4800,,5400,,,배달가 미입력
TEA-006,티,자몽 허니 블랙티,4800,4800,5400,600,0.0,인상 제안
TEA-007,티,유자티,4800,4500,5400,900,-6.2,인상 제안
TEA-009,티,수제청 딸기 애플티,4800,4800,5400,600,0.0,인상 제안
TEA-010,티,유자 애플티,4800,4800,5400,600,0.0,인상 제안
TEA-011,티,꿀 자몽 애플티,4800,,5400,,,배달가 미입력
TEA-008,티,자몽티,4500,4500,5100,600,0.0,인상 제안
TEA-012,티,제로 슬림 꿀티 (애플티·얼그레이·페퍼민트 중 선택),4300,,4900,,,배달가 미입력
TEA-001,티,복숭아아이스티,4000,4000,4500,500,0.0,인상 제안
TEA-015,티,베어글스 티 (12종 중 선택),4000,4000,4500,500,0.0,인상 제안
